"filename", "language", "JavaScript", "HTML", "CSS", "comment", "blank", "total"
"/Users/ericbernstine/Desktop/Coding/SKLIGHT by Blue Bell/contact.html", "HTML", 0, 176, 0, 5, 24, 205
"/Users/ericbernstine/Desktop/Coding/SKLIGHT by Blue Bell/email.js", "JavaScript", 8, 0, 0, 0, 0, 8
"/Users/ericbernstine/Desktop/Coding/SKLIGHT by Blue Bell/index.html", "HTML", 0, 275, 0, 9, 36, 320
"/Users/ericbernstine/Desktop/Coding/SKLIGHT by Blue Bell/index.js", "JavaScript", 72, 0, 0, 3, 16, 91
"/Users/ericbernstine/Desktop/Coding/SKLIGHT by Blue Bell/information.html", "HTML", 0, 264, 0, 2, 27, 293
"/Users/ericbernstine/Desktop/Coding/SKLIGHT by Blue Bell/roofing.html", "HTML", 0, 203, 0, 2, 27, 232
"/Users/ericbernstine/Desktop/Coding/SKLIGHT by Blue Bell/script/information.js", "JavaScript", 8, 0, 0, 0, 4, 12
"/Users/ericbernstine/Desktop/Coding/SKLIGHT by Blue Bell/script/roofing.js", "JavaScript", 7, 0, 0, 0, 3, 10
"/Users/ericbernstine/Desktop/Coding/SKLIGHT by Blue Bell/script/shopPage_carousel.js", "JavaScript", 71, 0, 0, 1, 14, 86
"/Users/ericbernstine/Desktop/Coding/SKLIGHT by Blue Bell/script/shopPage_roofWindow_carousel.js", "JavaScript", 105, 0, 0, 1, 13, 119
"/Users/ericbernstine/Desktop/Coding/SKLIGHT by Blue Bell/script/shopPage_sunTunnel_carousel.js", "JavaScript", 118, 0, 0, 3, 18, 139
"/Users/ericbernstine/Desktop/Coding/SKLIGHT by Blue Bell/script/siding.js", "JavaScript", 50, 0, 0, 0, 6, 56
"/Users/ericbernstine/Desktop/Coding/SKLIGHT by Blue Bell/shopPage_roofWindows.html", "HTML", 0, 184, 0, 4, 11, 199
"/Users/ericbernstine/Desktop/Coding/SKLIGHT by Blue Bell/shopPage_skylights.html", "HTML", 0, 525, 0, 12, 36, 573
"/Users/ericbernstine/Desktop/Coding/SKLIGHT by Blue Bell/shopPage_sunTunels.html", "HTML", 0, 269, 0, 8, 17, 294
"/Users/ericbernstine/Desktop/Coding/SKLIGHT by Blue Bell/siding.html", "HTML", 0, 219, 0, 1, 22, 242
"/Users/ericbernstine/Desktop/Coding/SKLIGHT by Blue Bell/styles/contactPage.css", "CSS", 0, 0, 119, 1, 7, 127
"/Users/ericbernstine/Desktop/Coding/SKLIGHT by Blue Bell/styles/information.css", "CSS", 0, 0, 84, 0, 8, 92
"/Users/ericbernstine/Desktop/Coding/SKLIGHT by Blue Bell/styles/master.css", "CSS", 0, 0, 451, 17, 71, 539
"/Users/ericbernstine/Desktop/Coding/SKLIGHT by Blue Bell/styles/roofing.css", "CSS", 0, 0, 96, 0, 15, 111
"/Users/ericbernstine/Desktop/Coding/SKLIGHT by Blue Bell/styles/shopPage.css", "CSS", 0, 0, 274, 3, 24, 301
"/Users/ericbernstine/Desktop/Coding/SKLIGHT by Blue Bell/styles/shopPage_roofWindows.css", "CSS", 0, 0, 258, 5, 17, 280
"/Users/ericbernstine/Desktop/Coding/SKLIGHT by Blue Bell/styles/shopPage_sunTunnels.css", "CSS", 0, 0, 327, 4, 26, 357
"/Users/ericbernstine/Desktop/Coding/SKLIGHT by Blue Bell/styles/siding.css", "CSS", 0, 0, 251, 1, 14, 266
"Total", "-", 439, 2115, 1860, 82, 456, 4952
